Date	Instrument	LANE	Undet	SingleMisID	SmisIdAny	UDI	LibraryPrep	Dups	PF
2017-06-16	H4	1	 4.9	 0.108	 1.772	1	NA	6.40907867145	73.65381711985368
2017-06-16	H4	2	 4.3	 0.146	 1.650	1	NA	7.18251562971	76.73874129937408
2017-06-16	H4	3	 4.8	 0.139	 1.978	1	NA	6.74379639361	75.44747487019559
2017-06-16	H4	4	 4.6	 0.153	 1.863	1	NA	7.70387214275	74.58152273024288
2017-06-16	H4	5	 4.4	 0.108	 1.808	1	NA	5.50585037742	73.83734850355776
2017-06-16	H4	6	 3.8	 0.339	 2.260	1	NA	3.29004803328	66.40541869093956
2017-06-16	H4	7	 4.3	 0.406	 2.620	1	NA	2.90296359319	64.35697544105837
2017-06-21	NS	1	 5.2	 0.000	 3.154	0	NA	NA	88.1
2017-06-21	NS	2	 6.0	 0.000	 3.925	0	NA	NA	88.1
2017-06-21	NS	3	 5.2	 0.000	 3.176	0	NA	NA	88.1
2017-06-21	NS	4	 6.0	 0.000	 3.895	0	NA	NA	88.1
2017-06-23	MS	1	22.5	 0.005	 2.652	0	NA	NA	96.2
2017-06-29	H4	5	 5.7	 0.211	 2.072	1	NA	10.0258141247	73.99013628157903
2017-06-29	H4	6	 5.2	 0.211	 1.865	1	NA	9.69503236601	74.46184093426375
2017-06-29	H4	7	 4.9	 0.192	 1.912	1	NA	7.23885957938	73.87425519925702
2017-06-29	H4	8	 5.3	 0.219	 1.827	1	NA	7.76437794805	72.62429660813274
2017-07-04	NS	1	 4.2	 0.001	 1.728	0	NA	NA	88.1
2017-07-04	NS	2	 4.4	 0.001	 1.868	0	NA	NA	88.1
2017-07-04	NS	3	 4.5	 0.001	 1.765	0	NA	NA	88.1
2017-07-04	NS	4	 5.1	 0.001	 2.161	0	NA	NA	88.1
2017-07-05	H4	1	 6.5	 0.513	 3.522	1	NA	4.24524660085	72.7976031052019
2017-07-05	H4	2	 6.3	 0.524	 3.771	1	NA	4.39653120794	74.26748050842812
2017-07-05	H4	3	 6.6	 0.539	 3.851	1	NA	5.55306129062	74.74978314171791
2017-07-05	H4	4	 5.5	 0.556	 2.878	1	NA	5.87871944267	74.16421546826896
2017-07-05	H4	5	 5.7	 0.157	 1.935	1	NA	4.79966062239	81.08719748538805
2017-07-05	H4	6	 5.8	 0.184	 1.659	1	NA	7.02116205557	77.06395190905684
2017-07-05	H4	7	 5.6	 0.153	 1.742	1	NA	5.99065220805	71.55943444917003
2017-07-05	H4	8	 5.4	 0.154	 2.216	1	NA	50.9196961536	67.12577018438378
2017-07-06	NS	1	 7.6	 0.000	 2.878	0	NA	NA	70.4
2017-07-06	NS	2	 8.3	 0.000	 3.539	0	NA	NA	70.4
2017-07-06	NS	3	 7.3	 0.000	 2.899	0	NA	NA	70.4
2017-07-06	NS	4	 8.8	 0.000	 3.841	0	NA	NA	70.4
2017-07-10	H4	1	 5.7	 0.139	 2.683	1	NA	10.5216473962	78.28915109817166
2017-07-10	H4	2	 6.1	 0.156	 2.811	1	NA	11.4080121573	80.37091048013923
2017-07-10	H4	3	 6.3	 0.158	 3.096	1	NA	12.7578552063	77.66279775259125
2017-07-10	H4	4	 6.3	 0.149	 2.730	1	NA	11.1418661751	79.32866108706912
2017-07-10	H4	5	 5.5	 0.140	 2.357	1	NA	11.4370659621	78.80340212838308
